#Traducción al castellano formal - Valeria Glazunov - OKEYGO y SOCIALENGINE.ES - Versión Julio de 2013 - ESV4.1 - SE. 4.6
#Algunas frases pese a estar traducidas no aparecerán al usuario final debido a fallos del código de Social Engine en los que no aparece la variable "translate"


#VÍDEO

"Video";"Vídeo"
"Licenses & Certificates";"Licencias y certificaciones"
"Work Experience";"Experiencia de trabajo"
"Card Photo";"Foto Card"
"Add New Player Card";"Añadir nueva player card"
"Relation";"Relacion"
"Sport Category";"Categoría de deporte"
"Relation Other";"Otras relaciones"
"Date of Birth";"Fecha de nacimiento""
"Languages";"idiomas"
"Who can view this player";"Quién puede ver este jugador"
"This is my card";"Mi player card"
"I am his/her Parent";"Soy su padre"
"I am his brother/sister";"Soy su hermano/a"
"I am his/her Coach, Agent, Campaign";"Soy su entrenador o su agente"
"I am his/her Friend";"Soy su amigo/a"
"Players of the Week";"Jugador de la semana"
"Closing Date";"Fecha de fin"
"Sort by date";"ordernar por fecha"
"Sort by view count";"ordernar por vista de contador"
"Meta Data";"Meta Data"
"%s submission";"% registrados";"% registrados"
"%s of submitted player cards that match the campaign preferences";"% de los jugadores registrados cumplen con el criterio de la Campaña"
"%s of player cards that match the campaign preferences";"% de los jugadores cumplen con el criterio de la Campaña"
"Search Campaigns...";"Buscar Campaña..."
"Filters";"Filtros"
"By age";Por edad"
"By date";"Por fecha"
"From ";"Desde "
"To ";"hasta "
"Add New Campaign";"Añadir nueva Campaña"
"Maximum %s characters.";"Máximo % de caracteres."
"Campaign Photo";"Foto de Campaña"
"From Age";"Desde la edad"
"To Age";"Hasta la edad"
"Matching Percentage";"Porcentaje de resultados que cumplen con el criterio"
"The minimum percentage of matching.";"El mínimo porcentaje de resultados que cumplen con el requisito."
"Allow users to submit their player";"Permitir a los usuarios que registren sus jugadores"
"Yes, allow users to submit their players.";"Si, yo permito a los usuarios que registren sus jugadores."
"No, do not allow users to submit their players.";"No permito a los usuarios que registren sus jugadores."
"Allow view for";"Doy autorización para que vean"
"Create New Tryout/Event";"Crear nuevo Evento/Campaña"
"Title(*)";"Título(*)"
"Start Time(*)";"Fecha de inicio(*)"
"End Time(*)";"Fecha de fin(*)"
"Capacity";"Capacidad"
"Event/Tryout Photo";"Foto del Evento/Prueba"
"Compose your new talk entry below, then click "Post Entry" to publish the entry to your talk.";"Crea una nueva discusión aquí, luego dale click en "Post Entry" para publicarla" 
"Who may see this talk entry?";"Quíen puede ver esta discusión?"
"Who may post comments on this talk entry?";"Quíen puede comentar en este post?"
"Show this talk entry in search results";"Muestra esta discusión en los resultados de búsqueda"
"Sent";"enviado"
"Inviter Statistics";"Estadisticas de invitados"
"Queue Emails";"Correos en espera"
"Queue Messages";"Mensajes en espera"
"Pending Invitations";"Invitaciones pendientes"
"Joined Friends";"Amigos invitados"
"Searh Events & Tryouts";"Buscar eventos y pruebas"
"Add Events & Tryouts";"Agregar eventos y pruebas"
"My up-comming activities";"Mis próximas actividades"
"My events & tryouts";"Mis eventos y pruebas"
"By author";"Por autor"
"My networks";"Mi red de contactos"
"Create New Announcement";"Crea un anuncio publicitario"
"New Events";"Nuevos eventos"
"My Following";"Mis seguidores"
"Trending Talks";"Discuciones populares"
"Add Talks";"Agrega tema de discusión""
"My Talks";"Mis discuciones"
"Favored Talks";"Discuciones favoritas""
"Artwork image";"Imágen"
"Edit Club";"Editar Club"
"Club Name";"Nombre del Club"
"Sub Club Creation";"Crear un Sub Club"
"When people try to join this club, should they be allowed to join immediately, or should they be forced to wait for approval?";"Cuando los usuarios traten de unirse a un club, deber ser aceptados inmediatamente, o deben ser aprobados previamente?
"Who may see this club?";"Quién puede ver este club?"
"Who may post on this club's wall?";"Quién puede escribir en el muro del club?"
"Who may upload photos/albums to this club?";"Quién puede subir fotos/álbumes en este club?"
"Who ma may create sub club for this club?";"Who may create sub club for this club?"
"Who may create videos for this club?";"Quién puede crear vídeos en este club?"
"All Club Members";"Todos los miembros"
"Create Club";"Crear Club"
"Create New Club";"Crear nuevo Club"
"Manage Social Settings";"Administrar ajustes sociales"
"Referral Code Generation";"Generación de código de referencia"
"Deactivate Account";"Desactivar cuenta "
"Language Preference";"Idioma de preferencia"
"You may not delete the last super admin account.";"You may not delete the last super admin account."
"You may not deactive the last super admin account.";"You may not deactive the last super admin account."
"Adding a person to your block list makes your profile (and all of your other content) unviewable to them. Any connections you have to the blocked person will be canceled.";"Cuando añades a una persona a tu lista de bloqueados hace ellos no puedan ver que tu perfil (y todo tu contenido) . Cualquier conexión que tengas con la persona bloqueada será cancelado.”
"Type the name of a user...";"Escribre el nombre de usuario ..."
"Block";"Bloqueado"
"Are you sure you want to deactivate your account?";"Estás seguro que deseas desactivar tu cuenta?"
"Yes, Deactivate My Account";"Si, deseo desactivar mi cuenta"
"Membership Plan";"Plan de Membresía"
"Please select a membership plan from the list below.";"Por favor seleccionar el plan de membresía en las opciones que aparecen a continuación"
"Forgot Password?";"Olvidó su contraseña?"
"Request Invite";"Solicitar invitación"
"Register";"Registrase"
"Or Sign In Using";" or registrate usando las siguientes cuentas"
"Resources";"Recursos"
"Tarfee";"Tarfee"
"About Us";"Sobre nosotros"
"What we do?";"¿Qué hacemos?"
"How it works?";"¿Cómo funciona?"
"Press";"Prensa"
"Terms";"Terminos"
"Privacy";"Privacidad"
"Career";"Oportunidades de trabajo"
"Contact Us";"Contáctanos"
"Help";"Ayuda"
"Private Contact Information";"Información privada del contacto"
"Who can view my private contact information?";"Quién puede ver mi informacion privada?"
"_ACTIVITY_ACTIONTYPE_COMMENT_VIDEO";"Cuando un usuario comente en un video"
"_ACTIVITY_ACTIONTYPE_VIDEO_NEW";"Cuando yo creo un video"
"Professionals Only";"Solo profesionales"
"Followers & Professionals";"Seguidores y profesionales"
"Followers & Networks";"Seguidores y Red de contactos"
"Only My Followers";"Solo mis seguidores"
"Question & Answer";"Preguntas frecuentes"
"Profile Verify";"Perfil verificado"
"Tarfee Campaign";"Campaña en Tarfee"
"Membership are not required for administrators and moderators.";"Miembros no requieren de administradores o moderadores."
"Maximum number of allowed referral codes:";"Máximo número permitido de códigos de referencia:" 
"Email to Friend";"Enviar email a amigos"
"Send message to your friend.";"Enviar mensaje a tus amigos."
"*Email";"*Email"
"*Message";"*Mensaje"
"Active/Deactivate Code";"Activo/No activo código"
"There are no available codes.";"No hay códigos disponibles."
"Referral Codes";"Código de referencia"
"Number of referral codes";"Número del código de referencia"
"Enter the maximum number of allowed referral codes. The field must contain an integer, use zero for unlimited.";“Ingresar la máxima cantidad permitida de códigos de referencia. El campo debe contener un numero integral. Usar cero para ilimitado.”
"Allow Referral Code Generation?";"Permitir generar código de referencia?"
"Do you want to have access to Referral Code Generation?";"¿Deseas tener acceso para generar códigos de referencia?""
"Yes, allow to have access.";"Si, deseo permitir tener acceso."
"No, do not allow to have access.";"No, no deseo permiter tener acceso."
"Referral Program Settings";"Ajustes de de programa de referencias"
"Referral Program";"Programa de referencias"
"Activate.";"Activar"
"Deactivte.";"Desactivar"
"0 is unlimited";"Usar cero para indicar ilimitado"
"Trial period of referral codes (day)";"Periodo de prueba para códigos de referencia (días)"
"Invite Requests";"Envía solicitudes"
"Deactive";"Desactivado"
"Used Codes";"Códigos usados"
"Available Codes";"Administrar disponiles"
"Get New Code";"Obten un nuevo código"
"Generate code successfully";"Se genero el código satisfactoriamente"
"Email To Friend";"Enviar email a amigo""
"Active/Deactive";"Activar/desactivar"
"Move Video";"Mover vídeo"
"Are you sure that you want to move this video?";"¿Estás seguro que deseas mover este vídeo?"
"Move To";"Mover a"
"Library";"álbum"
"Move";"Mover"
"Delete Sub Library";"Eliminar de sub álbum"
"Are you sure that you want to delete this library? It will not be recoverable after being deleted.";"¿Estás seguro que deseas eliminar este álbum? Una vez eliminado no se podrá recuperar."
"Edit Library";"Editar libería"
"Library Photo";"álbum de fotos"
"Who may see this library";"¿Quién puede ver este álbum?"
"Delete Campaign";"Eliminar Campaña"
"Are you sure you want to delete this campaign? All of the information of this campaign will be erased.";“Estás seguro que deseas eliminar esta campana? Toda la información de esta campaña sera borrada.”
"Edit Player Submission";"Editar aplicación de jugador"
"Choose the player that you want to edit";"Elegir al jugador que deseas editar"
"Submission List";"Lista de envío"
"Choose";"Elegir"
"Edit Player Submission";"Editar aplicación de jugador"
"Note";"Nota"
"Description";"Descripción"
"Player Photo";"Foto del jugador"
"Player Video";"Vídeo del jugador"
"Withdraw Player";"Retirar jugador"
"Choose player that you want to withdraw";"Elige que jugador deseas retirar"
"Submission List";"Lista de envío"
"Withdraw";"Retirar"
"Edit Campaign";"Editar Campaña"
"Upload Cover Photo";"Subir foto de portada"
"Reposition Cover Photo";"Reponer foto de portada"
"Save Position";"Guardar posición"
"Players";"Jugadores"
"No players have been created.";"No se han creado jugadores."
"Delete Player Card";"Eliminar Player Card"
"Are you sure you want to delete this player card?";"¿Estás seguro que deseas eliminar esta player card?"
"Activate Account";"Activar cuenta"
"Are you sure you want to activate your account?";"¿Estás seguro que deseas activar tu cuenta?
"Yes, Activate My Account";"Si,deseo activar mi cuenta"
"Visit Profile";"visitar perfil"
"Report Abuse";"Reportar abuso"
"Following who you are following";"Personas que sigues y te están siguiendo."
"Followers who following you";"Seguidores que te están siguiendo"
"Remove as Follower";"Retirar seguidor"
"followers";"seguidores"
"View";"Vistas"
"Manage";"Administrar"
"(%s) pending";"(%) de pendientes";"(%) de pendientes"
"(%s) request";"(%) de solicitud";"(%) de solicitudes"
"Don\'t have any recommendations";"No tienes ninguna recomendación"
"Hide";"Ocultar"
"Show";"Mostrar"
"No received recommendations.";"No has recibido recomendaciones."
"%s recommendation waiting for approve";"% de las recomendaciones están pendientes de aprobar";"% de las recomendaciones están pendientes de aprobar"
"accept";"aceptar"
"decline";"declinar"
"No recommendations waiting for approve.";"No tienes recomendaciones pendientes de aprobar."
"%s person waiting your recommendation";"% de personas que están esperando por tus recomendaciones"
"Ignore";"Ignorar"
"Write Recommendation";"Escribir recomendación"
"No people waiting your recommendation.";"No tienes usuarios esperando por tus recomendaciones."
"%s is waiting for your recommendation. Recommend now!";"% están esperando por tus recomendaciones. Recomiéndalos ya! "
"Recommend for %s";"Recomendado por el %"
"Player card deleted.";"Player card eliminada"
"The player card can not be found.";"La player card no se ha encontrado."
"You do not have permission to do this.";"No tienes permiso para realizar esta acción."
"The player card already in your eye on list.";"La player card ya se encuentra en tu lista de seguimiento."
"Move Contents Success...";"Contenido movido satisfactoriamente..."
"Adding Sub Library Success...";"Sub Album agregado satisfactoriamente..."
"Editting Sub Library Success...";"Sub Album editado satisfactoriamente..."
"Delete Sub Library Success...";Sub Album eliminado satisfactoriamente..."
"You can not add for recommendation.";"No puedes agregar la recomendación."
"Ask for recommendations sucessful.";"Solicitud de reco exitosa."
"You can not write recommendation for this user.";"No puedes escribir recomendaciones a este usuario."
"You have written recommendation for this user already.";"Ya has escrito una recomendación a este usuario."
"Write recommendation successfully.";"Tu recomendación ha sido registrada y enviada exitosamente."
"Save change successfully.";"Cambio ha sido guardado exitosamente."
"Invalid Age'";"Edad no válida'"
"End Time must be greater than Start Time.";"La fecha de fin debe ser mayor que la fecha de inicio."
"Transfer item to club";"Transferir elemento al Club"
"Are you sure you want to transfer this item to club ?";"Estás seguro que deseas transferir este elemento al club ?"
"Profile Section Settings";"Ajustes de la seccio del perfil"
"Player Card Settings";"Ajustes del Player Card"
"Youtube Channel Settings";"Ajuste de Youtube"
"Languages Settings";"Ajuste de idiomas"
"Manage Events which will be shown in slider.";"Administrar eventos que se muestran en la barra deslizante."
"YouNet Responsive Event Plugin";"YouNet Responsive Event Plugin"
"Event name:";"Nombre del evento:"
"Add New Event";"Agregar nuevo evento"
"There are no events posted yet.";"No hay eventos publicados todavía."
"Manage Sponsors";"Admistrar Patrocinador"
"Add New Sponsor";"Agregar nuevo Patrocinador"
"There are no sponsors posted yet.";"No hay publicaciones de patrocinadores todavía."
"There are no requests.";"No hay solicitudes pendientes."
"Manage Invite Requests";"Administrar solicitudes de invitación"
"Add New Language";"Agregar nuevo idioma"
"Manage Languages";"Administrar idioma"
"Actions";"Acciones"
"Section Settings for Member Levels";"Ajustes del nivel del miembro"
"Specify what profile section settings will be available to members in this level.";"especificar que ajustes de la sección de perfil estarán a disposición de los miembros en este nivel."
"Maximum character of bio the user can add";"Máxima candidad de caracteres que se puede colocar en la biografía del usuario.""
"Set 0 is unlimited";"Colocar cero significa ilimitado"
"Maximum trophies and archievements the user can add";"Cantidad máxima de trofeos y logros que un usuario puede agregar"
"Maximum character of trophy/archievement Short description the user can add";Cantidad máxima de caracteres que un usuario puede agregar en la descripción corta de trofeos/logros." 
"enable ""Licenses & Certificates""?";"Habilitar ""Licenicas y certificaciones""?"
"enable section ""Licenses & Certificates"" on user Profile";"Habilitar sección de " licencias y certificaciones"Enable section "
"Enable ""Work Experience""?";"Habilitar "Experencia laboral"?"
"Enable section ""Work Experience"" on user Profile";"Habilitar sección ""Experiencia laboral" en el perfil"
"enable ""Education""?";"habilitar ""Educación""?"
"Enable ""Recommendation""?";"habilitar ""Recomendaciones"?"
"Enable section ""Recommendation"" on user Profile";"Habilitar sección""Recomendaciones"" en perfil de usario"
"Maximum sports the user can add to their profile";"Maximum sports the user can add to their profile"
"Maximum club the user can add to their profile";"Maximum club the user can add to their profile"
"enable section ""Education"" on user Profile";"Habilitar sección""Educación"" en perfil de usario"
"Manage Services";"Administrar servicios"
"Add New Service";"Agregar nuevos servicios"
"Service";"Servicios"
"Manage Relation";"Administrar relaciones"
"Add New Relation";"Agregarr nuevas relaciones"
"Sport Categories";"Categorías de deportes"
"Maximum Allowed Player Cards";"Cantidad máxima de Player Cards"
"Enter the maximum number of allowed player cards. The field must contain an integer, use zero for unlimited.";“Ingresa la máxima cantidad permitida de player cards. El campo debe contener íntegros, usar cero para ilimitado”
